Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
-42.4692,8.92934,34 (Super 2),2.6,12.016,34.248001,,,2.6,,26.006245061985283
-42.4692,8.92934,34 (Super 2),2.8,12.016,34.249001,,,2.8,,26.007017232818043
-42.4692,8.92934,34 (Super 2),3.0,12.014,34.248001,,,3.0,,26.0066236377736
-42.4692,8.92934,34 (Super 2),3.1,12.0135,34.248001,10.770732,,3.1,,26.006718275579033
-42.4692,8.92934,34 (Super 2),3.6,13.377,34.636002,5.551219,,3.6,,26.037779285810757
-42.4692,8.92934,34 (Super 2),4.6,12.019,34.248001,10.536585,,4.6,,26.00567541897317
-42.4692,8.92934,34 (Super 2),4.8,12.014,34.249001,,,4.8,,26.007394763940056
-42.4692,8.92934,34 (Super 2),9.0,11.954,34.223999,10.331707,,9.1,,25.999426019939847
-42.4692,8.92934,34 (Super 2),9.3,12.007,34.248,10.2536585,,9.4,,26.007944290958676
-42.4692,8.92934,34 (Super 2),9.4,12.013,34.249001,,,9.5,,26.0075810873941
-42.4692,8.92934,34 (Super 2),9.5,12.009,34.249001,,,9.6,,26.00833855091878
-42.4692,8.92934,34 (Super 2),15.0,,,5.795122,0.174634,15.1,33184.385629373435,
-42.4692,8.92934,34 (Super 2),19.7,12.422,34.348999,,,19.9,,26.006399248010666
-42.4692,8.92934,34 (Super 2),20.3,12.401,34.338001,,,20.5,,26.001979509730745
-42.4692,8.92934,34 (Super 2),20.5,13.373,34.636002,5.795122,,20.7,,26.03856313509823
-42.4692,8.92934,34 (Super 2),21.5,12.006,34.25,10.536585,,21.7,,26.009650658198552
-42.4692,8.92934,34 (Super 2),30.0,,,,0.125756,30.2,,
-42.4692,8.92934,34 (Super 2),35.0,,,,0.095902,35.3,,
-42.4692,8.92934,34 (Super 2),38.6,13.271,34.667,,,38.9,,26.08311630056096
-42.4692,8.92934,34 (Super 2),39.2,13.156,34.682999,,,39.5,,26.118667145342897
-42.4692,8.92934,34 (Super 2),40.0,,,,,40.3,,
-42.4692,8.92934,34 (Super 2),45.0,,,,,45.4,,
-42.4692,8.92934,34 (Super 2),46.0,,,,0.087805,46.4,,
-42.4692,8.92934,34 (Super 2),47.9,12.795,34.705002,6.546341,,48.3,,26.207761440638023
